"UseCase","DeclarationFiles","DeclarationCount","TotalMatches","References","SafeToRemove"
"GetClassGradesReportUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Assessments\ReportUseCases.cs","1","4","3","NO"
"GetClassGroupByIdUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ClassGroups\GetClassGroupByIdUseCase.cs","1","3","2","NO"
"GetClassroomBookingByIdUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ClassroomBookings\GetClassroomBookingByIdUseCase.cs","1","2","1","NO"
"GetClassroomByIdUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Classrooms\GetClassroomByIdUseCase.cs","1","2","1","NO"
"GetCommunicationLogsUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UseCases\Communications\GetCommunicationLogsUseCase.cs","1","4","3","NO"
"GetCommunicationTemplatesUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UseCases\Communications\GetCommunicationTemplatesUseCase.cs","1","2","1","NO"
"GetEventByIdUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Events\GetEventByIdUseCase.cs","1","2","1","NO"
"GetGuardianByCpfUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Guardians\GetGuardianByCpfUseCase.cs","1","5","4","NO"
"GetGuardianByIdUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Guardians\GetGuardianByIdUseCase.cs","1","5","4","NO"
"GetImportJobUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Import\GetImportJobUseCase.cs","1","2","1","NO"
"GetImportTemplateUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Import\GetImportTemplateUseCase.cs","1","1","0","YES"
"GetModulesForRoleUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ModuleAccess\GetModulesForRoleUseCase.cs","1","5","4","NO"
"GetNoticeByIdUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Notices\GetNoticeByIdUseCase.cs","1","2","1","NO"
"GetNotificationRuleByIdUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UseCases\GetNotificationRuleByIdUseCase.cs","1","2","1","NO"
"GetNotificationRulesUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UseCases\GetNotificationRulesUseCase.cs","1","2","1","NO"
"GetNotificationTemplateByIdUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UseCases\GetNotificationTemplateByIdUseCase.cs","1","2","1","NO"
"GetNotificationTemplatesUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UseCases\GetNotificationTemplatesUseCase.cs","1","2","1","NO"
"GetPermissionByIdUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Permissions\GetPermissionByIdUseCase.cs","1","2","1","NO"
"GetPlanByIdUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\GetPlanByIdUseCase.cs","1","5","4","NO"
"GetPortalFinancialDataUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Portal\GetPortalFinancialDataUseCase.cs","1","3","2","NO"
"GetPortalProfileUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Portal\GetPortalProfileUseCase.cs","1","3","2","NO"
"GetRoleByIdUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Roles\GetRoleByIdUseCase.cs","1","2","1","NO"
"GetSchoolUnitByIdUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\SchoolUnits\GetSchoolUnitByIdUseCase.cs","1","2","1","NO"
"GetSearchHistoryUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UseCases\GetSearchHistoryUseCase.cs","1","4","3","NO"
"GetServiceUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Services\GetServiceUseCase.cs","1","2","1","NO"
"GetStaffByIdUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Staff\GetStaffByIdUseCase.cs","1","5","4","NO"
"GetStudentByCpfUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\GetStudentByCpfUseCase.cs","1","5","4","NO"
"GetStudentReportCardUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Assessments\ReportUseCases.cs","1","8","7","NO"
"GetSubscriptionPlanUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Subscriptions\SubscriptionPlanUseCases.cs","1","4","3","NO"
"GetSubscriptionUsageUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Subscriptions\TenantSubscriptionUseCases.cs","1","4","3","NO"
"GetTenantSubscriptionUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Subscriptions\TenantSubscriptionUseCases.cs","1","7","6","NO"
"GetTimetableTemplateByIdUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Timetabling\GetTimetableTemplateByIdUseCase.cs","1","2","1","NO"
"GetWaitlistEntryUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Waitlist\GetWaitlistEntryUseCase.cs","1","2","1","NO"
"GrantModuleAccessUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ModuleAccess\GrantModuleAccessUseCase.cs","1","5","4","NO"
"ImportStudentsUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ImportStudentsUseCase.cs","1","7","6","NO"
"ListAcademicYearsUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\AcademicYears\ListAcademicYearsUseCase.cs","1","4","3","NO"
"ListAnnouncementsUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Announcements\ListAnnouncementsUseCase.cs","1","2","1","NO"
"ListAssessmentsByClassUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Assessments\AssessmentUseCases.cs","1","2","1","NO"
"ListAssetsUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Assets\ListAssetsUseCase.cs","1","6","5","NO"
"ListAssignmentsUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ListAssignmentsUseCase.cs","1","2","1","NO"
"ListAttendanceByClassUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Attendance\AttendanceUseCases.cs","1","3","2","NO"
"ListAvailableTeachersUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Scheduling\ListAvailableTeachersUseCase.cs","1","2","1","NO"
"ListClassGroupsUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ClassGroups\ListClassGroupsUseCase.cs","1","3","2","NO"
"ListClassroomBookingsUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ClassroomBookings\ListClassroomBookingsUseCase.cs","1","2","1","NO"
"ListClassroomsUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Classrooms\ListClassroomsUseCase.cs","1","2","1","NO"
"ListClassSchedulesUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ClassGroups\ManageClassSchedulesUseCases.cs","1","3","2","NO"
"ListDocumentsUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ListDocumentsUseCase.cs","1","2","1","NO"
"ListEventsUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Events\ListEventsUseCase.cs","1","2","1","NO"
"ListGradesByAssessmentUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Assessments\AssessmentUseCases.cs","1","5","4","NO"
"ListGradesByStudentUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Assessments\AssessmentUseCases.cs","1","5","4","NO"
